name,region_code,petroleum,gas,coal,iron,manganese
Hunan Province,a18,0,0,18.76,1.63,5711.1
Guangxi Zhuang Autonomous Region,a20,146.41,3.39,7.74,1.1,4033.44
Guizhou Province,a24,0,10.61,118.46,0.51,2468.87
Chongqing Municipality,a22,160.44,1921.02,22.49,0.01,2252.62
Liaoning Province,a6,18799.01,209.43,46.63,75.46,1412.41
Yunnan Province,a25,12.21,2.41,62.47,3.82,905.86
Hubei Province,a17,1307.97,4.68,3.3,3.73,807.1
Inner Mongolia Autonomous Region,a5,7643.8,7149.44,769.86,12.12,566
Tibet Autonomous Region,a26,51163.47,8616.43,148.31,3.57,410.43
Shanxi Province,a4,24947.67,5628.11,119.89,4.04,279.74
Gansu Province,a28,16085.39,191.8,58.05,3.91,263.14
Guangdong Province,a19,8.16,0.31,1.89,1.59,215.81
Sichuan Province,a23,514.74,6763.11,54.37,28.73,97.74
Fujian Province,a13,0,0,4.06,3.54,64.48
Shanghai Municipality,a9,0,0,844.01,12.13,12.9
Anhui Province,a12,186.73,0.06,81.93,8.19,8.8
Hebei Province,a3,27780.8,359.32,60.59,37.49,4.8
Jilin Province,a7,18861.77,681.26,12.4,2.31,0.4
Shaanxi Province,a27,34310.68,366.99,77.56,10.31,0
Jiangxi Province,a14,0,0,6.74,1.91,0
Jiangsu Province,a10,2689.35,23.66,14.23,1.72,0
Henan Province,a16,5051.21,99.21,113.49,1.65,0
Hainan Province,a21,0,0.7,0.9,1.04,0
Beijing Municipality,a1,0,0,3.79,0.89,0
Heilongjiang Province,a8,54516.41,1454.98,68.17,0.42,0
Xinjiang Uyghur Autonomous Region,a31,0,0,0.12,0.27,0
Zhejiang Province,a11,0,0,0.49,0.16,0
Qinghai Province,a29,5635.18,1321.89,16.22,0.07,0
Ningxia Hui Autonomous Region,a30,202.77,2.75,54.03,0,0
Tianjin Municipality,a2,3415.91,288.64,2.97,0,0
Shandong Province,a15,0,0,0,0,0
